기준일ID,시군구코드,시군구명,총생활인구수,내국인생활인구수,장기체류외국인인구수,단기체류외국인인구수,일최대인구수,일최소인구수,주간인구수(09~18),야간인구수(19~08),일최대이동인구수,서울외유입인구수,동일자치구행정동간이동인구수,자치구간이동인구수
20211226,11000,서울시,10515911.12830,10038098.03160,385391.88270,92421.21400,10659959.85640,10388059.88510,10578287.12370,10471356.84590,4234228.82770,933928.52660,1921293.79880,1379006.50230
20211226,11110,종로구,236087.51190,218054.16500,14582.38630,3450.96070,274362.45330,214622.30320,258243.30950,220261.94230,138354.39090,36045.16710,27262.32220,75046.90160
20211226,11140,중구,218076.21110,189818.82810,16482.02510,11775.35790,253916.80800,189337.44370,243304.93630,200055.69310,137330.28270,36130.23600,27516.01040,73684.03630
20211226,11170,용산구,292427.42990,268517.44910,18063.31840,5846.66250,314128.42420,277803.61640,305471.78600,283110.03280,135247.22370,36463.60370,41996.32220,56787.29780
20211226,11200,성동구,342799.43820,324647.96550,15439.51120,2711.96150,352150.36780,335865.39450,344645.16430,341481.06240,140127.37360,25532.67060,55285.03740,59309.66560
20211226,11215,광진구,380376.37760,356006.07000,21741.55800,2628.74960,389633.57390,370716.69420,376429.61430,383195.49420,142390.30980,28269.62140,69540.26150,44580.42690
20211226,11230,동대문구,362190.53900,335967.91800,23773.44000,2449.18100,369073.86290,352273.55530,358278.73010,364984.68820,138051.73830,23519.77110,66300.28960,48231.67760
20211226,11260,중랑구,377083.58520,370150.94080,6104.29930,828.34510,388560.52070,362787.97730,368185.27830,383439.51870,138051.41350,23823.65980,83582.33160,30645.42210
20211226,11290,성북구,439997.68200,423151.50010,14455.59540,2390.58650,453201.30750,422957.53780,429754.12940,447314.50530,146989.71380,22022.81550,77865.72530,47101.17300
20211226,11305,강북구,309131.13540,303458.03990,5015.04510,658.05040,319548.86930,298519.25720,301834.35660,314343.12020,168796.35410,13892.11460,117187.07130,37717.16820
20211226,11320,도봉구,292551.94140,288983.41540,2819.21350,749.31250,300801.41930,283112.42900,287078.85810,296461.28660,119233.15760,17797.91160,67334.06510,34101.18090
20211226,11350,노원구,525891.25300,518988.81730,5383.17800,1519.25760,541624.63420,512821.34940,516957.49500,532272.50860,184294.92190,32289.12640,109051.11500,42954.68050
20211226,11380,은평구,464996.13890,457864.67090,5887.77390,1243.69410,485546.73030,439638.48280,448299.91780,476922.01120,148232.88810,27881.26550,89741.33320,30610.28940
20211226,11410,서대문구,361679.66050,339633.22800,18263.02120,3783.41140,366516.68840,354548.03460,358055.86210,364268.08800,149491.09230,26178.89470,67127.38210,56184.81550
20211226,11440,마포구,443731.60420,419177.60070,18947.45820,5606.54530,472641.57360,426812.08710,455903.09540,435037.68200,197174.74220,47717.00920,67912.63980,81545.09320
20211226,11470,양천구,398301.65690,390855.62290,5076.68700,2369.34700,409272.25580,389484.92540,393643.87280,401628.64560,138357.17200,26364.03720,65133.56890,46859.56590
20211226,11500,강서구,562321.29140,547604.04810,9286.66660,5430.57660,571805.12040,554325.31140,557728.47180,565601.87680,201729.91780,50828.24310,105449.27680,45452.39790
20211226,11530,구로구,426632.10710,384137.15130,37377.48010,5117.47570,435802.81660,416869.06550,421963.94740,429966.50700,155457.92450,44208.83790,70995.15120,40253.93540
20211226,11545,금천구,226298.82950,204603.24200,18492.70890,3202.87860,230893.84990,221500.08860,227234.43290,225630.54140,95666.28330,28301.92640,42631.66250,24732.69440
20211226,11560,영등포구,477457.59440,428387.58660,45142.05280,3927.95510,511668.57170,451879.00770,499907.10080,461422.23280,232486.98450,59396.20650,86938.81210,86151.96590
20211226,11590,동작구,401103.53940,384263.78080,13931.87220,2907.88650,420150.34230,383111.90810,389237.54660,409579.24860,135886.75280,25828.91770,61445.11050,48612.72460
20211226,11620,관악구,508828.86020,483399.74460,22233.79220,3195.32340,528890.36810,487636.38630,494672.56990,518940.49610,172409.93670,33847.42140,91488.88480,47073.63050
